AnimationID	KindID	SheathType	AnimationRatio	AnimationSpeed	IsLoop	AnimationFile
0	0	0	1	1	0	
1	22	1			0	Data\source\player\M2\动作\M2b02zd死亡.tani
2	22				0	死亡
3	22				0	死亡
4	22				0	死亡
5	23	1			0	Data\source\player\M2\动作\M2b02zd爬起.tani
6	23				0	复活
7	23				0	复活
8	23				0	复活
9	5				1	Data\source\player\M2\动作\M2b02yd行走.tani
10	5				1	Data\source\player\M2\动作\M2b04ty行走.tani
11	5				1	Data\source\player\M2\动作\M2b04ty行走.tani
12	5				1	Data\source\player\M2\动作\M2b03ty行走.tani
13	5				1	Data\source\player\M2\动作\M2b05ty行走.tani
14	5				1	行走
15	5				1	行走
16	5				1	Data\source\player\M2\动作\M2b02yd奔跑.tani
17	5				1	Data\source\player\M2\动作\M2b04ty奔跑.tani
18	5				1	Data\source\player\M2\动作\M2b04ty奔跑.tani
19	5				1	Data\source\player\M2\动作\M2b03ty奔跑.tani
20	5				1	Data\source\player\M2\动作\M2b05ty奔跑.tani
21	5				1	Data\source\player\M2\动作\M2b02yd奔跑.tani
22	5				1	跑步
23	5				1	Data\source\player\M2\动作\M2b01ty后退01.tani
24	5	2			1	Data\source\player\M2\动作\M2b01qt战斗待机后退01.tani
25	5	2			1	Data\source\player\M2\动作\M2b03ty战斗待机后退01.tani
26	5	2			1	Data\source\player\M2\动作\M2b04ty战斗待机后退01.tani
27	5	2			1	Data\source\player\M2\动作\M2b05ty战斗待机后退01.tani
28	5				1	后退
29	5				1	后退
30	1	1			1	Data\source\player\M2\动作\M2b01ty普通待机01.ani
31	1	2			1	Data\source\player\M2\动作\M2b04ty持武器普通待机02.ani
32	1	2			1	Data\source\player\M2\动作\M2b04ty持武器普通待机01.ani
33	1	2			1	Data\source\player\M2\动作\M2b03ty持武器普通待机02.ani
34	1	2			1	Data\source\player\M2\动作\M2b03ty持武器普通待机01.ani
35	1	2			1	Data\source\player\M2\动作\M2b01qt持武器普通待机03.ani
36	1	2			1	Data\source\player\M2\动作\M2b01qt持武器普通待机02.ani
37	1	2			1	Data\source\player\M2\动作\M2b05ty持武器普通待机01.ani
38	1	2			1	Data\source\player\M2\动作\M2b05ty持武器普通待机01.ani
39	1	2			1	Data\source\player\M2\动作\M2b01bi持武器普通待机01.ani
40	1	1			1	Data\source\player\M2\动作\M2b04ty空手普通待机.ani
41	1	1			1	Data\source\player\M2\动作\M2b04ty空手普通待机.ani
42	1	1			1	Data\source\player\M2\动作\M2b03ty空手普通待机.ani
43	1	1			1	Data\source\player\M2\动作\M2b05ty空手普通待机.ani
44	1				1	普通待机
45	1				1	普通待机
46	1				1	普通待机
47	2	2			1	Data\source\player\M2\动作\M2b04ty战斗待机.ani
48	2	2			1	Data\source\player\M2\动作\M2b04tc战斗待机01.ani
49	2	2			1	Data\source\player\M2\动作\M2b03ty战斗待机.ani
50	2				1	Data\source\player\M2\动作\M2b01qt战斗待机01.ani
51	2	2			1	Data\source\player\M2\动作\M2b05ty战斗待机.ani
52	2	2			1	Data\source\player\M2\动作\M2b01bi战斗待机02.ani
53	2	2			1	Data\source\player\M2\动作\M2b01aq战斗待机03.ani
54	12	2			0	data\source\player\M2\动作\M2b01qt攻击01.tani
55	12	2			0	data\source\player\M2\动作\M2b01qt攻击05.tani
56	12	2			0	data\source\player\M2\动作\M2b01qt攻击06.tani
57	12	2			0	Data\source\player\M2\动作\M2b04qi攻击01.tani
58	12	2			0	Data\source\player\M2\动作\M2b04qi攻击02.tani
59	12	2			0	Data\source\player\M2\动作\M2b04gu攻击03.tani
60	12	2			0	Data\source\player\M2\动作\M2b04ty攻击03.tani
61	12	2			0	Data\source\player\M2\动作\M2b03ty攻击08.tani
62	12	2			0	Data\source\player\M2\动作\M2b03ty攻击09.tani
63	12	2			0	Data\source\player\M2\动作\M2b03ty攻击10.tani
64	12	2			0	Data\source\player\M2\动作\M2b05ty攻击01.tani
